runtype,seed.meta,ought.valid,ought.errtype,check.noerrors,check.validoutput,errmess
simplescenarios,7352,TRUE,0,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,7352,FALSE,1,FALSE,FALSE,Error in out[1] <- mbs * fn.pred.con(pars = as.numeric(c(ests[1; ])); : replacement has length zero
simplescenarios,7352,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; nd; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,7352,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,7352,FALSE,4,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,7352,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,7352,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,7352,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,7352,FALSE,8,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,7352,FALSE,9,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,7352,FALSE,10,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,7352,FALSE,11,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,7352,FALSE,12,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,7352,FALSE,13,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,7352,FALSE,14,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,7352,FALSE,15,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,7352,FALSE,16,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,7352,FALSE,17,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,7352,FALSE,18,FALSE,FALSE,Error in out[1] <- mbs * fn.pred.con(pars = as.numeric(c(ests[1; ])); : replacement has length zero
simplescenarios,7352,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,7352,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,24088,TRUE,0,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,24088,FALSE,1,FALSE,FALSE,Error in out[1] <- mbs * fn.pred.con(pars = as.numeric(c(ests[1; ])); : replacement has length zero
simplescenarios,24088,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; nd; ] <- as.numeric(c(inputs$demobase.survadult[i; : number of items to replace is not a multiple of replacement length
simplescenarios,24088,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,24088,FALSE,4,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,24088,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,24088,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,24088,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,24088,FALSE,8,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,24088,FALSE,9,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,24088,FALSE,10,FALSE,FALSE,Error in inputs$demobase.prod[i; ]: subscript out of bounds
simplescenarios,24088,FALSE,11,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,24088,FALSE,12,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,24088,FALSE,13,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,24088,FALSE,14,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,24088,FALSE,15,FALSE,FALSE,Error in year.first:output.year.end: result would be too long a vector
simplescenarios,24088,FALSE,16,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,24088,FALSE,17,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,24088,FALSE,18,FALSE,FALSE,Error in out[1] <- mbs * fn.pred.con(pars = as.numeric(c(ests[1; ])); : replacement has length zero
simplescenarios,24088,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,24088,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,9121,TRUE,0,TRUE,TRUE,NA
simplescenarios,9121,FALSE,1,TRUE,TRUE,NA
simplescenarios,9121,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; j + 1; ] <- as.numeric(c(inputs$demobase.survadult[i; : number of items to replace is not a multiple of replacement length
simplescenarios,9121,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,9121,FALSE,4,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,9121,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,9121,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,9121,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,9121,FALSE,8,TRUE,TRUE,NA
simplescenarios,9121,FALSE,9,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,9121,FALSE,10,FALSE,FALSE,Error in inputs$demobase.prod[i; ]: subscript out of bounds
simplescenarios,9121,FALSE,11,FALSE,FALSE,Error in ru.base[j; tt; ; ; drop = FALSE]: subscript out of bounds
simplescenarios,9121,FALSE,12,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,9121,FALSE,13,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,9121,FALSE,14,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,9121,FALSE,15,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,9121,FALSE,16,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,9121,FALSE,17,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,9121,FALSE,18,TRUE,TRUE,NA
simplescenarios,9121,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,9121,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,71883,TRUE,0,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,1,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; nd; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,71883,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,71883,FALSE,4,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,71883,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,71883,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,71883,FALSE,8,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,9,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,10,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,71883,FALSE,11,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,12,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,71883,FALSE,13,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,71883,FALSE,14,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,71883,FALSE,15,FALSE,FALSE,Error in year.first:output.year.end: result would be too long a vector
simplescenarios,71883,FALSE,16,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,71883,FALSE,17,FALSE,FALSE,Error in eigen(mmat): infinite or missing values in 'x'
simplescenarios,71883,FALSE,18,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,71883,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,71883,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,57634,TRUE,0,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,57634,FALSE,1,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,57634,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; nd; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,57634,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,57634,FALSE,4,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,57634,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,57634,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,57634,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,57634,FALSE,8,TRUE,FALSE,NA
simplescenarios,57634,FALSE,9,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,57634,FALSE,10,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,57634,FALSE,11,FALSE,FALSE,Error in ru.base[j; tt; ; ; drop = FALSE]: subscript out of bounds
simplescenarios,57634,FALSE,12,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,57634,FALSE,13,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,57634,FALSE,14,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,57634,FALSE,15,FALSE,FALSE,Error in year.first:output.year.end: result would be too long a vector
simplescenarios,57634,FALSE,16,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,57634,FALSE,17,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,57634,FALSE,18,TRUE,FALSE,NA
simplescenarios,57634,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,57634,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,41025,TRUE,0,TRUE,TRUE,NA
simplescenarios,41025,FALSE,1,TRUE,TRUE,NA
simplescenarios,41025,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; j + 1; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,41025,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,41025,FALSE,4,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,41025,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,41025,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,41025,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,41025,FALSE,8,TRUE,TRUE,NA
simplescenarios,41025,FALSE,9,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,41025,FALSE,10,FALSE,FALSE,Error in out[ids; idp; 1] <- prod: number of items to replace is not a multiple of replacement length
simplescenarios,41025,FALSE,11,FALSE,FALSE,Error in ru.base[j; tt; ; ; drop = FALSE]: subscript out of bounds
simplescenarios,41025,FALSE,12,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,41025,FALSE,13,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,41025,FALSE,14,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,41025,FALSE,15,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,41025,FALSE,16,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,41025,FALSE,17,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,41025,FALSE,18,TRUE,TRUE,NA
simplescenarios,41025,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,41025,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,95745,TRUE,0,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,95745,FALSE,1,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,95745,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; j + 1; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,95745,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,95745,FALSE,4,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,95745,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,95745,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,95745,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,95745,FALSE,8,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,95745,FALSE,9,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,95745,FALSE,10,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,95745,FALSE,11,FALSE,FALSE,Error in ru.base[j; tt; ; ; drop = FALSE]: subscript out of bounds
simplescenarios,95745,FALSE,12,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,95745,FALSE,13,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,95745,FALSE,14,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,95745,FALSE,15,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,95745,FALSE,16,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,95745,FALSE,17,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,95745,FALSE,18,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,95745,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,95745,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,89787,TRUE,0,TRUE,TRUE,NA
simplescenarios,89787,FALSE,1,FALSE,FALSE,Error in ests[1; 1:2] <- fn.mom.con(c(prod.mn/mbs; prod.sd/mbs)): replacement has length zero
simplescenarios,89787,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; j + 1; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,89787,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,89787,FALSE,4,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,89787,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,89787,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,89787,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,89787,FALSE,8,TRUE,TRUE,NA
simplescenarios,89787,FALSE,9,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,89787,FALSE,10,FALSE,FALSE,Error in out[ids; idp; 1] <- prod: number of items to replace is not a multiple of replacement length
simplescenarios,89787,FALSE,11,FALSE,FALSE,Error in ru.base[j; tt; ; ; drop = FALSE]: subscript out of bounds
simplescenarios,89787,FALSE,12,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,89787,FALSE,13,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,89787,FALSE,14,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,89787,FALSE,15,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,89787,FALSE,16,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,89787,FALSE,17,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,89787,FALSE,18,FALSE,FALSE,Error in ests[1; 1:2] <- fn.mom.con(c(prod.mn/mbs; prod.sd/mbs)): replacement has length zero
simplescenarios,89787,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,89787,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,78022,TRUE,0,TRUE,FALSE,NA
simplescenarios,78022,FALSE,1,FALSE,FALSE,Error in ests[1; 1:2] <- fn.mom.con(c(prod.mn/mbs; prod.sd/mbs)): replacement has length zero
simplescenarios,78022,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; j + 1; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
